LinkID,HomeID,Type,Front_QFF_ID,Front_OC,Front_EC,Backup_QFF_ID,Backup_OC,Backup_EC,Actual_OC,Actual_OM,Actual_EC,percent_adsorbed_OC_in_front_QFF,comments,datestarted,dateended,Actual_OC_flag,Actual_EC_flag
CA001110,CA011,INDOOR,30021,5.27013,0.35513,30036,1.55853,0.015346,3.7116,5.19624,0.339784,29.5729,"","1999-07-13 00:00:00","1999-07-15 00:00:00",,
CA001120,CA011,OUTDOOR,30038,3.86806,0.480474,30037,1.78407,0.0257348,2.08399,2.91758,0.454739,46.1232,"","1999-07-13 00:00:00","1999-07-15 00:00:00",,
CA003110,CA013,INDOOR,30113,7.3099,0.897348,30116,2.76528,0.015367,4.54462,6.36247,0.881981,37.8292,"","1999-08-15 00:00:00","1999-08-17 00:00:00",,
CA003120,CA013,OUTDOOR,30112,4.30039,0.941932,30115,2.1855,0.296329,2.11489,2.96085,0.645603,50.821,"","1999-08-15 00:00:00","1999-08-17 00:00:00",,
CA004110,CA014,INDOOR,30101,4.52776,0.559859,30104,2.51888,0.0567962,2.00888,2.81243,0.503063,55.6319,"","1999-08-23 00:00:00","1999-08-25 00:00:00",,
CA004120,CA014,OUTDOOR,30102,3.41438,0.78286,30103,2.0047,0.276395,1.40968,1.97356,0.506465,58.7133,"","1999-08-23 00:00:00","1999-08-25 00:00:00",,
CA005110,CA015,INDOOR,30106,11.8491,0.768548,30107,2.81099,0.00515583,9.0381,12.6533,0.763393,23.7233,"","1999-08-31 00:00:00","1999-09-02 00:00:00",,
CA005120,CA015,OUTDOOR,30108,3.49141,0.594804,30091,1.88649,0.179213,1.60492,2.24689,0.415592,54.0323,"","1999-08-31 00:00:00","1999-09-02 00:00:00",,
CA007110,CA017,INDOOR,30229,8.75613,0.619226,30231,0.876203,0,7.87993,11.0319,0.619226,10.0067,"","1999-09-16 00:00:00","1999-09-18 00:00:00",,
CA007120,CA017,OUTDOOR,30230,4.77646,0.585101,30232,1.59037,0.0505427,3.18608,4.46052,0.534558,33.2961,"","1999-09-16 00:00:00","1999-09-18 00:00:00",,
CA010110,CA020,INDOOR,30245,6.79104,0.935594,30244,2.40824,0.029384,4.3828,6.13592,0.90621,35.462,"","1999-10-04 00:00:00","1999-10-06 00:00:00",,
CA010120,CA020,OUTDOOR,30246,5.7175,1.16743,30249,1.12762,0.0331954,4.58987,6.42582,1.13423,19.7223,"","1999-10-04 00:00:00","1999-10-06 00:00:00",,
CA013110,CA023,INDOOR,30211,7.64452,1.45892,30214,2.31604,0.0419746,5.32848,7.45987,1.41694,30.2967,"","1999-10-13 00:00:00","1999-10-15 00:00:00",,
CA013120,CA023,OUTDOOR,30212,4.98534,1.35659,30213,1.3946,0.0476895,3.59074,5.02704,1.3089,27.9741,"","1999-10-13 00:00:00","1999-10-15 00:00:00",,
CA014110,CA024,INDOOR,30218,10.1093,4.51887,30216,5.39646,0.731368,4.71286,6.598,3.7875,53.381,"","1999-10-18 00:00:00","1999-10-20 00:00:00",,
CA014120,CA024,OUTDOOR,30219,10.8721,2.71887,30217,0.812982,0.0503747,10.0591,14.0828,2.66849,7.47768,"","1999-10-18 00:00:00","1999-10-20 00:00:00",,
CA016110,CA026,INDOOR,30403,8.84766,1.45019,NULL,2.58016,0.065,6.2675,8.7745,1.38519,29.1621,"bkup OC was estimated from existing data","1999-10-27 00:00:00","1999-10-29 00:00:00",,
CA016120,CA026,OUTDOOR,30404,5.64125,1.16831,NULL,1.80054,0.065,3.84072,5.377,1.10331,31.9173,"bkup OC was estimated from existing data","1999-10-27 00:00:00","1999-10-29 00:00:00",,
CA017110,CA027,INDOOR,30408,25.862,1.24464,30409,2.75679,0.0350213,23.1052,32.3473,1.20961,10.6596,"","1999-11-03 00:00:00","1999-11-05 00:00:00",,
CA017120,CA027,OUTDOOR,30407,7.52377,1.18396,30410,2.19964,0.280102,5.32413,7.45378,0.903856,29.2359,"","1999-11-03 00:00:00","1999-11-05 00:00:00",,
CA018110,CA028,INDOOR,30414,9.2086,2.20863,30417,1.4303,0.107004,7.7783,10.8896,2.10162,15.5322,"","1999-11-08 00:00:00","1999-11-10 00:00:00",,
CA018120,CA028,OUTDOOR,30415,6.01909,2.48928,30416,2.33566,0.619172,3.68343,5.1568,1.87011,38.8042,"","1999-11-08 00:00:00","1999-11-10 00:00:00",,
CA020110,CA030,INDOOR,30361,7.58711,1.67561,30359,2.28473,0.0211753,5.30237,7.42332,1.65443,30.1134,"","1999-12-13 00:00:00","1999-12-15 00:00:00",,
CA020120,CA030,OUTDOOR,30357,8.78891,2.52726,30358,1.54598,0.027354,7.24293,10.1401,2.49991,17.5902,"","1999-12-13 00:00:00","1999-12-15 00:00:00",,
CA030110,CA040,INDOOR,30538,6.10266,1.12266,30536,3.08209,0.386413,3.02057,4.2288,0.736251,50.504,"","2000-03-13 00:00:00","2000-03-15 00:00:00",,
CA030120,CA040,OUTDOOR,30537,4.9884,1.4595,30535,1.98697,0.0529308,3.00143,4.202,1.40656,39.8319,"","2000-03-13 00:00:00","2000-03-15 00:00:00",,
CA031110,CA041,INDOOR,30644,8.58481,0.619415,30645,3.17858,0.0969813,5.40623,7.56873,0.522433,37.0256,"","2000-03-15 00:00:00","2000-03-17 00:00:00",,
CA031120,CA041,OUTDOOR,30643,5.42986,0.832143,30646,2.21581,0.0380453,3.21405,4.49967,0.794097,40.8079,"","2000-03-15 00:00:00","2000-03-17 00:00:00",,
CA035110,CA045,INDOOR,30474,5.68269,0.944435,30473,2.63104,0.0462784,3.05165,4.27231,0.898156,46.2992,"","2000-04-17 00:00:00","2000-04-19 00:00:00",,
CA035120,CA045,OUTDOOR,30476,2.73961,1.36111,30477,0.924078,0.00173317,1.81554,2.54175,1.35938,33.7302,"","2000-04-17 00:00:00","2000-04-19 00:00:00",,
CA037110,CA047,INDOOR,30789,8.6712,0.408952,30480,3.12374,0,5.54746,7.76645,0.408952,36.0243,"","2000-04-24 00:00:00","2000-04-26 00:00:00",,
CA037120,CA047,OUTDOOR,30479,5.6804,0.816242,30483,1.85592,0.135104,3.82448,5.35427,0.681138,32.6724,NULL,"2000-04-24 00:00:00","2000-04-26 00:00:00",,
CA038110,CA048,INDOOR,30824,6.47373,0.865763,30827,2.69754,0.0470595,3.77619,5.28666,0.818703,41.669,NULL,"2000-05-01 00:00:00","2000-05-03 00:00:00",,
CA038120,CA048,OUTDOOR,30825,8.41278,0.598935,30826,1.48828,0.0617075,6.9245,9.6943,0.537228,17.6907,NULL,"2000-05-01 00:00:00","2000-05-03 00:00:00",,
CA047110,CA057,INDOOR,30786,8.32173,1.51898,30784,2.28622,0.0303191,6.03551,8.44972,1.48866,27.4729,NULL,"2000-05-30 00:00:00","2000-06-01 00:00:00",,
CA047120,CA057,OUTDOOR,30787,5.72401,1.51615,30785,2.50701,0.495975,3.217,4.5038,1.02018,43.7981,NULL,"2000-05-30 00:00:00","2000-06-01 00:00:00",,
CA049110,CA059,INDOOR,30816,6.82855,1.47442,30815,1.13853,0.0521456,5.69002,7.96602,1.42227,16.6731,NULL,"2000-06-12 00:00:00","2000-06-14 00:00:00",,
CA049120,CA059,OUTDOOR,30817,5.45866,1.67426,30814,2.00312,0.603071,3.45554,4.83775,1.07119,36.6962,NULL,"2000-06-12 00:00:00","2000-06-14 00:00:00",,
CA051110,CA061,INDOOR,30869,8.15547,1.50807,30867,3.26092,0.0461581,4.89455,6.85237,1.46192,39.9844,NULL,"2000-06-26 00:00:00","2000-06-28 00:00:00",,
CA051120,CA061,OUTDOOR,30873,7.31892,1.77912,30868,2.38562,0.0514308,4.9333,6.90662,1.72769,32.5953,NULL,"2000-06-26 00:00:00","2000-06-28 00:00:00",,
CA053110,CA063,INDOOR,30851,6.67924,1.58113,30852,2.56187,0.0864674,4.11737,5.76432,1.49466,38.3557,NULL,"2000-07-12 00:00:00","2000-07-14 00:00:00",,
CA053120,CA063,OUTDOOR,30855,5.60323,1.56084,30853,2.23601,0.0922752,3.36722,4.7141,1.46857,39.9058,NULL,"2000-07-12 00:00:00","2000-07-14 00:00:00",,
CA062110,CA072,INDOOR,31186,4.42952,0.261497,31188,2.58589,0.0605827,1.84363,2.58108,0.200914,58.3785,NULL,"2000-08-29 00:00:00","2000-08-31 00:00:00",,
CA062120,CA072,OUTDOOR,31185,2.18028,0.243908,31187,1.25093,0.0659729,0.929346,1.30108,0.177935,57.3749,NULL,"2000-08-29 00:00:00","2000-08-31 00:00:00",,
CA065110,CA075,INDOOR,30856,12.1598,1.82374,30849,2.3146,0.0580922,9.84525,13.7833,1.76565,19.0348,NULL,"2000-07-19 00:00:00","2000-07-21 00:00:00",,
CA065120,CA075,OUTDOOR,30861,8.10058,1.89424,30860,2.9573,0.0581971,5.14328,7.20059,1.83604,36.5073,NULL,"2000-07-19 00:00:00","2000-07-21 00:00:00",,
CA066110,CA076,INDOOR,30845,7.80249,1.32041,30847,2.64308,0.0775394,5.1594,7.22317,1.24287,33.8749,NULL,"2000-07-26 00:00:00","2000-07-28 00:00:00",,
CA066120,CA076,OUTDOOR,30844,8.09159,1.67945,30848,2.42506,0.0852036,5.66653,7.93314,1.59425,29.9701,"","2000-07-26 00:00:00","1900-07-28 00:00:00",,
CA069110,CA079,INDOOR,31216,8.80447,1.94032,31217,3.13781,0.0619562,5.66666,7.93333,1.87836,35.6388,"","2000-09-05 00:00:00","2000-09-07 00:00:00",,
CA069120,CA079,OUTDOOR,31215,9.25436,2.23062,31218,2.92331,0.0824617,6.33105,8.86348,2.14816,31.5884,"","2000-09-05 00:00:00","2000-09-07 00:00:00",,
CA070110,CA080,INDOOR,31183,9.30609,2.05962,31177,3.42616,0,5.87993,8.23191,2.05962,36.8163,"","2000-09-11 00:00:00","2000-09-13 00:00:00",,
CA070120,CA080,OUTDOOR,31184,9.74279,2.38016,31178,3.54425,0.0167533,6.19855,8.67797,2.3634,36.3781,"","2000-09-11 00:00:00","2000-09-13 00:00:00",,
CA071110,CA081,INDOOR,31209,6.34861,1.0248,31207,2.75155,0.0310068,3.59706,5.03588,0.993796,43.341,"","2000-09-20 00:00:00","2000-09-22 00:00:00",,
CA071120,CA081,OUTDOOR,31210,4.10351,1.24803,31208,1.30997,0.0333089,2.79353,3.91095,1.21472,31.9233,"","2000-09-20 00:00:00","2000-09-22 00:00:00",,
CA077110,CA087,INDOOR,31172,6.86305,0.716888,31205,2.23138,0.0288652,4.63167,6.48434,0.688022,32.5129,"","2000-10-02 00:00:00","2000-10-04 00:00:00",,
CA077120,CA087,OUTDOOR,31171,4.11267,0.921507,31204,1.56066,0.0401423,2.55201,3.57282,0.881365,37.9476,"","2000-10-02 00:00:00","2000-10-04 00:00:00",,
CA003210,CA213,INDOOR,30355,6.89881,1.46029,30354,2.50504,0.0309383,4.39377,6.15128,1.42935,36.3112,"","1999-11-29 00:00:00","1999-12-01 00:00:00",,
CA003220,CA213,OUTDOOR,30352,6.70675,2.06419,30353,1.19584,0.0312287,5.51092,7.71528,2.03297,17.8303,"","1999-11-29 00:00:00","1999-12-01 00:00:00",,
CA010210,CA220,INDOOR,30461,5.08018,0.46976,30614,2.11714,0.10995,2.96304,4.14826,0.359809,41.6745,"","2000-03-29 00:00:00","2000-03-31 00:00:00",,
CA010220,CA220,OUTDOOR,30613,3.86112,0.69403,30615,1.41851,0.0362253,2.44261,3.41966,0.657805,36.7383,"","2000-03-29 00:00:00","2000-03-31 00:00:00",,
CA011210,CA221,INDOOR,30553,4.18102,0.502648,NULL,2.45672,0.065,1.7243,2.41402,0.437648,58.7589,"bkup OC was estimated from existing data","2000-03-01 00:00:00","2000-03-03 00:00:00",,
CA011220,CA221,OUTDOOR,30552,5.11994,1.20051,NULL,1.73651,0.065,3.38342,4.73679,1.13551,33.9167,"bkup OC was estimated from existing data","2000-03-01 00:00:00","2000-03-03 00:00:00",,
CA012210,CA222,INDOOR,30639,7.04278,0.971966,30640,2.44999,0.0207266,4.59279,6.42991,0.95124,34.7872,"","2000-03-21 00:00:00","2000-03-23 00:00:00",,
CA012220,CA222,OUTDOOR,30638,5.67092,1.15308,30641,1.66585,0.0504799,4.00507,5.6071,1.1026,29.3753,"","2000-03-21 00:00:00","2000-03-23 00:00:00",,
CA016210,CA226,INDOOR,30545,5.72628,0.985835,NULL,2.50778,0.065,3.21851,4.50591,0.920835,43.7942,"bkup OC was estimated from existing data","2000-03-07 00:00:00","2000-03-09 00:00:00",,
CA016220,CA226,OUTDOOR,30546,3.84322,1.17248,NULL,1.56014,0.065,2.28308,3.19631,1.10748,40.5946,"bkup OC was estimated from existing data","2000-03-07 00:00:00","2000-03-09 00:00:00",,
CA018210,CA228,INDOOR,30464,7.84757,0.592452,30465,2.40012,0.0217817,5.44745,7.62643,0.57067,30.5843,"","2000-04-06 00:00:00","2000-04-08 00:00:00",,
CA018220,CA228,OUTDOOR,30463,4.21172,0.701867,30467,1.58619,0.0749416,2.62553,3.67574,0.626925,37.6613,"","2000-04-06 00:00:00","2000-04-08 00:00:00",,
CA020210,CA230,INDOOR,30470,6.29234,0.612102,30469,2.61888,0.159826,3.67346,5.14285,0.452276,41.6201,"","2000-04-11 00:00:00","2000-04-13 00:00:00",,
CA020220,CA230,OUTDOOR,30472,4.66592,0.624875,30471,1.24649,0.0119608,3.41978,4.78769,0.612917,26.7148,"","2000-04-11 00:00:00","2000-04-13 00:00:00",,
CA029210,CA239,INDOOR,30870,10.7867,1.28959,30806,2.1007,0.0149887,8.68596,12.1603,1.2746,19.475,"","2000-06-21 00:00:00","2000-06-23 00:00:00",,
CA029220,CA239,OUTDOOR,30871,7.43387,1.21406,30805,2.09577,0.0274809,5.3381,7.47335,1.18657,28.1921,"","2000-06-21 00:00:00","2000-06-23 00:00:00",,
CA030210,CA240,INDOOR,30865,7.41078,1.60064,30863,2.98408,0.0492459,4.4267,6.19738,1.55139,40.2667,"","2000-06-28 00:00:00","2000-06-30 00:00:00",,
CA030220,CA240,OUTDOOR,30866,7.13312,1.64394,30864,2.71639,0.0489074,4.41673,6.18343,1.59504,38.0814,"","2000-06-28 00:00:00","2000-06-30 00:00:00",,
CA035210,CA245,INDOOR,31211,7.54,2.17744,31179,2.94311,-0.00101505,4.59689,6.43564,2.17846,39.0333,"","2000-09-13 00:00:00","2000-09-15 00:00:00",,
CA035220,CA245,OUTDOOR,31212,8.95449,2.79062,31180,3.21513,0.0237016,5.73936,8.0351,2.76692,35.9053,"","2000-09-13 00:00:00","2000-09-15 00:00:00",,
CA046210,CA256,INDOOR,31199,5.80937,0.862191,31202,4.00052,0.235794,1.80884,2.53238,0.626397,68.8633,"","2000-10-09 00:00:00","2000-10-11 00:00:00",,
CA046220,CA256,OUTDOOR,31200,3.92441,1.28171,31203,1.44882,0.100886,2.47559,3.46582,1.18082,36.9182,"","2000-10-09 00:00:00","2000-10-11 00:00:00",,
CA047210,CA257,INDOOR,31482,7.34597,3.23097,31483,2.90123,0.0371904,4.44475,6.22264,3.19378,39.4941,"","2000-10-31 00:00:00","2000-11-02 00:00:00",,
CA047220,CA257,OUTDOOR,31470,8.15933,4.69859,31484,1.65819,0.0569723,6.50114,9.1016,4.64162,20.3226,"","2000-10-31 00:00:00","2000-11-02 00:00:00",,
CA053210,CA263,INDOOR,31469,8.52155,3.24393,31462,3.13291,0.0322347,5.38864,7.5441,3.21169,36.7646,"","2000-11-20 00:00:00","2000-11-22 00:00:00",,
CA053220,CA263,OUTDOOR,31460,9.40315,3.87299,31461,2.08778,0.0670352,7.31537,10.2415,3.80595,22.203,"","2000-11-20 00:00:00","2000-11-22 00:00:00",,
CA061210,CA271,INDOOR,31465,7.16723,1.61054,31474,2.51318,0.00503815,4.65405,6.51567,1.6055,35.0649,"","2000-11-15 00:00:00","2000-11-17 00:00:00",,
CA061220,CA271,OUTDOOR,31473,6.29155,1.8198,31466,1.61562,0.0114881,4.67592,6.54629,1.80831,25.6793,"","2000-11-15 00:00:00","2000-11-17 00:00:00",,
CA062210,CA272,INDOOR,31453,8.13477,1.04176,31455,2.82379,0.00670664,5.31098,7.43537,1.03505,34.7126,"","2000-12-11 00:00:00","2000-12-13 00:00:00",,
CA062220,CA272,OUTDOOR,31456,4.65844,1.07104,31457,1.33055,0.0112685,3.32789,4.65905,1.05977,28.5621,"","2000-12-11 00:00:00","2000-12-13 00:00:00",,
CA077210,CA287,INDOOR,31620,14.6348,2.56776,31619,3.36945,0.00332406,11.2653,15.7715,2.56443,23.0236,"","2001-01-31 00:00:00","2001-02-02 00:00:00",,
CA077220,CA287,OUTDOOR,31618,8.79382,2.58383,31617,3.00648,0.0198095,5.78734,8.10227,2.56402,34.1886,"","2001-01-31 00:00:00","2001-02-02 00:00:00",,
TX103110,EX103,INDOOR,31271,10.9231,0.484122,NULL,3.29152,0.065,7.63159,10.6842,0.419122,30.1335,"bkup OC was estimated from existing data","2000-10-17 00:00:00","2000-10-19 00:00:00",,
TX103120,EX103,OUTDOOR,31282,5.96923,0.76238,NULL,2.17398,0.065,3.79525,5.31335,0.69738,36.4198,"bkup OC was estimated from existing data","2000-10-17 00:00:00","2000-10-19 00:00:00",,
TX104110,EX104,INDOOR,31291,9.21665,0.801717,NULL,3.23745,0.065,5.9792,8.37088,0.736717,35.1261,"bkup OC was estimated from existing data","2000-09-26 00:00:00","2000-09-28 00:00:00",,
TX104120,EX104,OUTDOOR,31290,12.3994,0.862572,NULL,2.62101,0.065,9.77842,13.6898,0.797572,21.1381,"bkup OC was estimated from existing data","2000-09-26 00:00:00","2000-09-28 00:00:00",,
TX104210,EX204,INDOOR,31412,10.9618,0.653354,NULL,3.29265,0.065,7.66914,10.7368,0.588354,30.0375,"bkup OC was estimated from existing data","2000-12-15 00:00:00","2000-12-17 00:00:00",,
TX104220,EX204,OUTDOOR,31414,3.8327,0.637873,NULL,1.94105,0.065,1.89165,2.64831,0.572873,50.6444,"bkup OC was estimated from existing data","2000-12-15 00:00:00","2000-12-17 00:00:00",,
TX106210,EX206,INDOOR,31537,10.2862,0.655862,NULL,3.2723,0.065,7.01394,9.81952,0.590862,31.8124,"bkup OC was estimated from existing data","2001-01-15 00:00:00","2001-01-17 00:00:00",,
TX106220,EX206,OUTDOOR,31416,4.58797,0.673965,NULL,2.03244,0.065,2.55552,3.57773,0.608965,44.2995,"bkup OC was estimated from existing data","2001-01-15 00:00:00","2001-01-17 00:00:00",,
NJ001110,NJ101,INDOOR,30041,7.9447,0.906888,30055,3.42758,0.0177329,4.51712,6.32397,0.889155,43.143,"","1999-06-08 00:00:00","1999-06-10 00:00:00",,
NJ001120,NJ101,OUTDOOR,30042,5.87309,1.05444,30059,2.37684,0.290883,3.49625,4.89475,0.763553,40.47,"","1999-06-08 00:00:00","1999-06-10 00:00:00",,
NJ002110,NJ102,INDOOR,30047,8.37247,1.06663,30043,3.06579,8.71405e-05,5.30667,7.42934,1.06654,36.6175,"","1999-06-23 00:00:00","1999-06-25 00:00:00",,
NJ002120,NJ102,OUTDOOR,30045,6.93576,0.938026,30044,2.41228,0.0186408,4.52348,6.33287,0.919385,34.7803,"","1999-06-23 00:00:00","1999-06-25 00:00:00",,
NJ003110,NJ103,INDOOR,30063,13.6287,1.84092,30069,3.14024,0.0483264,10.4884,14.6838,1.7926,23.0414,"","1999-07-13 00:00:00","1999-07-15 00:00:00",,
NJ003120,NJ103,OUTDOOR,30064,5.41837,2.00061,30067,2.11421,0.0672231,3.30416,4.62583,1.93339,39.0193,"","1999-07-13 00:00:00","1999-07-15 00:00:00",,
NJ004110,NJ104,INDOOR,30122,15.3624,3.16354,30120,3.15315,0.0353531,12.2093,17.093,3.12818,20.5251,"","1999-07-27 00:00:00","1999-07-29 00:00:00",,
NJ004120,NJ104,OUTDOOR,30123,8.25543,1.40601,30121,2.64664,0.107271,5.60879,7.85231,1.29874,32.0594,"","1999-07-27 00:00:00","1999-07-29 00:00:00",,
NJ005110,NJ105,INDOOR,30127,11.5296,2.17181,30129,3.07126,0.0046164,8.45838,11.8417,2.16719,26.638,"","1999-08-10 00:00:00","1999-08-12 00:00:00",,
NJ005120,NJ105,OUTDOOR,30126,8.02499,1.94869,30128,2.47567,0.0153479,5.54932,7.76905,1.93334,30.8495,"","1999-08-10 00:00:00","1999-08-12 00:00:00",,
NJ006110,NJ106,INDOOR,30132,10.4882,1.19299,30130,2.68318,0.0392359,7.80502,10.927,1.15376,25.5828,"","1999-08-23 00:00:00","1999-08-25 00:00:00",,
NJ006120,NJ106,OUTDOOR,30133,7.96599,1.21822,30131,2.76589,0.254196,5.2001,7.28014,0.964024,34.7212,"","1999-08-23 00:00:00","1999-08-25 00:00:00",,
NJ008110,NJ108,INDOOR,30147,5.27404,0.648656,30143,2.75829,0.0230528,2.51575,3.52205,0.625604,52.2994,"","1999-09-28 00:00:00","1999-09-30 00:00:00",,
NJ008120,NJ108,OUTDOOR,30148,2.52377,0.736517,30146,1.32978,0.00817455,1.19399,1.67159,0.728343,52.6901,"","1999-09-28 00:00:00","1999-09-30 00:00:00",,
NJ009110,NJ109,INDOOR,30252,9.31573,1.90813,30250,2.80652,0.198149,6.50921,9.11289,1.70998,30.1267,"","1999-09-30 00:00:00","1999-10-02 00:00:00",,
NJ009120,NJ109,OUTDOOR,30253,5.24081,1.30326,30251,1.58413,0.0155615,3.65669,5.11936,1.2877,30.2267,NULL,"1999-09-30 00:00:00","1999-10-02 00:00:00",,
NJ011110,NJ111,INDOOR,30269,9.1497,1.8823,30267,2.71393,0.0384582,6.43577,9.01008,1.84384,29.6614,NULL,"1999-10-19 00:00:00","1999-10-21 00:00:00",,
NJ011120,NJ111,OUTDOOR,30270,4.66934,2.1119,30268,1.3192,0.0633191,3.35014,4.6902,2.04858,28.2525,NULL,"1999-10-19 00:00:00","1999-10-21 00:00:00",,
