measurement,element,type,Nsamples,Minimum,Maximum,Average,Median
"PM elements (ICPMS)",Sr,Indoor,273,1.15,11.9416,1.36136,1.15
"PM elements (ICPMS)",Sr,"Personal adult",240,3.55,28.7791,4.04018,3.55
"PM elements (ICPMS)",Sr,"Personal child",24,3.55,3.55,3.55,3.55
"PM elements (ICPMS)",Ag,Outdoor,265,0.1,2.59116,0.265246,0.1
"PM elements (ICPMS)",Ag,Indoor,273,0.1,1.79287,0.312175,0.24027
"PM elements (ICPMS)",Ag,"Personal adult",240,0.25,3.41783,0.728304,0.618412
"PM elements (ICPMS)",Ag,"Personal child",24,0.25,1.48384,0.679997,0.708968
"PM elements (ICPMS)",Cd,Outdoor,265,0.5,25.8904,0.836181,0.5
"PM elements (ICPMS)",Cd,Indoor,273,0.5,12.6392,0.693132,0.5
"PM elements (ICPMS)",Cd,"Personal adult",240,1.45,80.3846,2.14736,1.45
"PM elements (ICPMS)",Cd,"Personal child",24,1.45,1.45,1.45,1.45
"PM elements (ICPMS)",Cs,Outdoor,265,0.05,0.299046,0.0630602,0.05
"PM elements (ICPMS)",Cs,Indoor,273,0.05,0.421441,0.064135,0.05
"PM elements (ICPMS)",Cs,"Personal adult",240,0.1,0.845865,0.159086,0.1
"PM elements (ICPMS)",Cs,"Personal child",24,0.1,0.218074,0.109402,0.1
"PM elements (ICPMS)",Ba,Outdoor,265,0,81.1688,7.93382,4.58787
"PM elements (ICPMS)",Ba,Indoor,273,0,34.6429,4.07223,2.48405
"PM elements (ICPMS)",Ba,"Personal adult",240,0,250.839,8.31539,5.66018
"PM elements (ICPMS)",Ba,"Personal child",24,0,15.8559,6.52948,5.91062
"PM elements (ICPMS)",Tl,Outdoor,265,0.05,0.212231,0.0617285,0.05
"PM elements (ICPMS)",Tl,Indoor,273,0.05,0.192452,0.0587386,0.05
"PM elements (ICPMS)",Tl,"Personal adult",240,0.15,0.563503,0.178578,0.15
"PM elements (ICPMS)",Tl,"Personal child",24,0.15,0.15,0.15,0.15
"PM elements (ICPMS)",Pb,Outdoor,265,6.65,303.696,16.5378,6.65
"PM elements (ICPMS)",Pb,Indoor,273,6.65,133.697,12.3906,6.65
"PM elements (ICPMS)",Pb,"Personal adult",240,53.6,688.301,59.0678,53.6
"PM elements (ICPMS)",Pb,"Personal child",24,53.6,109.987,55.9495,53.6
"PM elements (ICPMS)",Bi,Outdoor,265,0.05,1.40403,0.155675,0.05
"PM elements (ICPMS)",Bi,Indoor,273,0.05,1.26854,0.12773,0.05
"PM elements (ICPMS)",Bi,"Personal adult",240,0.2,2.76362,0.393478,0.2
"PM elements (ICPMS)",Bi,"Personal child",24,0.2,6.00822,0.519336,0.2
"PM elements (ICPMS)",U,Outdoor,265,0.05,0.140292,0.0511252,0.05
"PM elements (ICPMS)",U,Indoor,274,0.05,0.14927,0.0515681,0.05
"PM elements (ICPMS)",U,"Personal adult",241,0.2,0.2,0.2,0.2
"PM elements (ICPMS)",U,"Personal child",24,0.2,0.2,0.2,0.2
"PM elements (XRF)",Ag,Outdoor,265,0.00105,0.0034,0.00107736,0.00105
"PM elements (XRF)",Ag,Indoor,273,0.00105,0.00344727,0.00111412,0.00105
"PM elements (XRF)",Ag,"Personal adult",240,0.00185,0.00449674,0.00190693,0.00185
"PM elements (XRF)",Ag,"Personal child",24,0.00185,0.00185,0.00185,0.00185
"PM elements (XRF)",Al,Outdoor,265,0.00125,1.16495,0.0677108,0.017
"PM elements (XRF)",Al,Indoor,273,0.00125,0.22546,0.0268892,0.0152
"PM elements (XRF)",Al,"Personal adult",240,0.0014,0.671163,0.113382,0.0663854
"PM elements (XRF)",Al,"Personal child",24,0.00586565,0.37837,0.128209,0.104387
"PM elements (XRF)",Arsenic,Outdoor,265,0.0002,0.00463137,0.000882549,0.000755633
"PM elements (XRF)",Arsenic,Indoor,273,0.0002,0.0072,0.000731244,0.000560753
"PM elements (XRF)",Arsenic,"Personal adult",240,0.0003,0.007,0.000874483,0.0003
"PM elements (XRF)",Arsenic,"Personal child",24,0.0003,0.00394359,0.00113382,0.000698435
"PM elements (XRF)",Ba,Outdoor,265,0.00985,0.0841086,0.0176312,0.00985
"PM elements (XRF)",Ba,Indoor,273,0.00985,0.0474713,0.0123653,0.00985
"PM elements (XRF)",Ba,"Personal adult",240,0.0167,0.467687,0.0225941,0.0167
"PM elements (XRF)",Ba,"Personal child",24,0.0167,0.039797,0.0176624,0.0167
"PM elements (XRF)",Br,Outdoor,265,0.00015,0.0176,0.0044971,0.00399559
"PM elements (XRF)",Br,Indoor,273,0.0003668,0.0286642,0.00356748,0.00306336
"PM elements (XRF)",Br,"Personal adult",240,0.0002,0.1461,0.00470465,0.00344078
"PM elements (XRF)",Br,"Personal child",24,0.0002,0.0072,0.00378462,0.00346905
"PM elements (XRF)",Ca,Outdoor,265,0.00185,1.735,0.124422,0.0806991
"PM elements (XRF)",Ca,Indoor,273,0.00185,1.53224,0.0969552,0.0667875
"PM elements (XRF)",Ca,"Personal adult",240,0.0241862,5.047,0.406555,0.228841
"PM elements (XRF)",Ca,"Personal child",24,0.0118378,1.25892,0.419551,0.308367
"PM elements (XRF)",Cd,Outdoor,265,0.00085,0.0111771,0.000952191,0.00085
"PM elements (XRF)",Cd,Indoor,273,0.00085,0.00512174,0.000934233,0.00085
"PM elements (XRF)",Cd,"Personal adult",240,0.0009,0.0249184,0.00116308,0.0009
"PM elements (XRF)",Cd,"Personal child",24,0.0009,0.00183959,0.000939149,0.0009
"PM elements (XRF)",Cl,Outdoor,265,0.012,2.0043,0.0746356,0.012
"PM elements (XRF)",Cl,Indoor,273,0.012,2.713,0.064052,0.012
"PM elements (XRF)",Cl,"Personal adult",240,0.0093,2.30327,0.15869,0.0922609
"PM elements (XRF)",Cl,"Personal child",24,0.0093,0.7717,0.239424,0.208161
"PM elements (XRF)",Co,Outdoor,265,0.00015,0.0118,0.000256057,0.00015
"PM elements (XRF)",Co,Indoor,273,0.00015,0.0084,0.000233509,0.00015
"PM elements (XRF)",Co,"Personal adult",240,0.0012,0.0083,0.00125541,0.0012
"PM elements (XRF)",Co,"Personal child",24,0.0012,0.0012,0.0012,0.0012
"PM elements (XRF)",Cr,Outdoor,265,0.00015,0.188886,0.0026193,0.000641552
"PM elements (XRF)",Cr,Indoor,273,0.00015,0.0541653,0.00184008,0.000590697
"PM elements (XRF)",Cr,"Personal adult",240,0.00055,0.0848196,0.0033188,0.00159657
"PM elements (XRF)",Cr,"Personal child",24,0.00055,0.0195732,0.00501756,0.00325711
"PM elements (XRF)",Cu,Outdoor,265,0.002,0.0625124,0.00588499,0.002
"PM elements (XRF)",Cu,Indoor,273,0.002,0.436829,0.00666719,0.002
"PM elements (XRF)",Cu,"Personal adult",240,0.00105,0.776469,0.0156421,0.00906955
"PM elements (XRF)",Cu,"Personal child",24,0.00105,0.237591,0.0227281,0.0137584
"PM elements (XRF)",Fe,Outdoor,265,0.0059,1.988,0.183533,0.1262
"PM elements (XRF)",Fe,Indoor,273,0.0059,0.367802,0.0792777,0.0619
"PM elements (XRF)",Fe,"Personal adult",240,0.0314284,0.998167,0.18628,0.147304
"PM elements (XRF)",Fe,"Personal child",24,0.00585,0.477947,0.21062,0.19486
"PM elements (XRF)",Ga,Outdoor,265,0.00065,0.00065,0.00065,0.00065
"PM elements (XRF)",Ga,Indoor,273,0.00065,0.00065,0.00065,0.00065
"PM elements (XRF)",Ga,"Personal adult",240,0.00115,0.00280639,0.00116735,0.00115
"PM elements (XRF)",Ga,"Personal child",24,0.00115,0.00115,0.00115,0.00115
"PM elements (XRF)",Ge,Outdoor,265,0.0003,0.00062393,0.000302399,0.0003
"PM elements (XRF)",Ge,Indoor,273,0.0003,0.00140739,0.000313021,0.0003
"PM elements (XRF)",Ge,"Personal adult",240,0.0006,0.0069,0.000659902,0.0006
"PM elements (XRF)",Ge,"Personal child",24,0.0006,0.0006,0.0006,0.0006
"PM elements (XRF)",Hg,Outdoor,265,0.0004,0.00146608,0.000419887,0.0004
"PM elements (XRF)",Hg,Indoor,273,0.0004,0.00143857,0.000434796,0.0004
"PM elements (XRF)",Hg,"Personal adult",240,0.00075,0.0076,0.000796753,0.00075
"PM elements (XRF)",Hg,"Personal child",24,0.00075,0.00075,0.00075,0.00075
"PM elements (XRF)",Indium,Outdoor,265,0.0007,0.00246305,0.000721527,0.0007
"PM elements (XRF)",Indium,Indoor,273,0.0007,0.00175187,0.000726971,0.0007
"PM elements (XRF)",Indium,"Personal adult",240,0.0013,0.0046,0.00139277,0.0013
"PM elements (XRF)",Indium,"Personal child",24,0.0013,0.0013,0.0013,0.0013
"PM elements (XRF)",k,Outdoor,265,0.00125,0.7205,0.0859006,0.0684
"PM elements (XRF)",k,Indoor,273,0.0083,1.036,0.0881452,0.0629
"PM elements (XRF)",k,"Personal adult",240,0.0291,1.028,0.151902,0.11028
"PM elements (XRF)",k,"Personal child",24,0.00407721,0.507076,0.208666,0.157283
"PM elements (XRF)",La,Outdoor,265,0.00425,0.015028,0.00478044,0.00425
"PM elements (XRF)",La,Indoor,273,0.00425,0.0158166,0.00473131,0.00425
"PM elements (XRF)",La,"Personal adult",240,0.0095,0.0234,0.00955792,0.0095
"PM elements (XRF)",La,"Personal child",24,0.0095,0.0095,0.0095,0.0095
"PM elements (XRF)",Mn,Outdoor,265,0.0004,0.0314,0.00413242,0.00307028
"PM elements (XRF)",Mn,Indoor,273,0.0004,0.0153,0.00206537,0.0018
"PM elements (XRF)",Mn,"Personal adult",240,0.0007,0.0201451,0.00367429,0.00315217
"PM elements (XRF)",Mn,"Personal child",24,0.0007,0.00836369,0.00405494,0.00404896
"PM elements (XRF)",Mo,Outdoor,265,0.00045,0.00187132,0.000568383,0.00045
"PM elements (XRF)",Mo,Indoor,273,0.00045,0.00143554,0.000491692,0.00045
"PM elements (XRF)",Mo,"Personal adult",240,0.00055,0.00190558,0.000586037,0.00055
"PM elements (XRF)",Mo,"Personal child",24,0.00055,0.00055,0.00055,0.00055
"PM elements (XRF)",Ni,Outdoor,265,0.001,0.0245922,0.00302451,0.00228768
"PM elements (XRF)",Ni,Indoor,273,0.001,0.0120703,0.00197224,0.001
"PM elements (XRF)",Ni,"Personal adult",240,0.0006,0.0852783,0.00485652,0.003459
"PM elements (XRF)",Ni,"Personal child",24,0.0006,0.0196317,0.00633621,0.00505976
"PM elements (XRF)",P,Outdoor,265,0.0007,0.0042,0.000768429,0.0007
"PM elements (XRF)",P,Indoor,273,0.0007,0.051263,0.00161538,0.0007
"PM elements (XRF)",P,"Personal adult",240,0.001,0.0768,0.00291467,0.001
"PM elements (XRF)",P,"Personal child",24,0.001,0.0132208,0.00369351,0.001
"PM elements (XRF)",Pb,Outdoor,265,0.00075,0.0291,0.00492389,0.00410935
"PM elements (XRF)",Pb,Indoor,274,0.00075,0.0328,0.0035096,0.0030117
"PM elements (XRF)",Pb,"Personal adult",241,0.00115,0.232348,0.00617365,0.00404696
"PM elements (XRF)",Pb,"Personal child",24,0.00115,0.0131897,0.00623128,0.00537197
"PM elements (XRF)",Pd,Outdoor,265,0.0008,0.0023,0.000815218,0.0008
"PM elements (XRF)",Pd,Indoor,273,0.0008,0.00222067,0.000833725,0.0008
"PM elements (XRF)",Pd,"Personal adult",240,0.00115,0.00393805,0.00121695,0.00115
"PM elements (XRF)",Pd,"Personal child",24,0.00115,0.00115,0.00115,0.00115
"PM elements (XRF)",Rb,Outdoor,265,0.00015,0.0031,0.00021142,0.00015
"PM elements (XRF)",Rb,Indoor,273,0.00015,0.000621387,0.000177431,0.00015
"PM elements (XRF)",Rb,"Personal adult",240,0.0002,0.00160264,0.000307088,0.0002
"PM elements (XRF)",Rb,"Personal child",24,0.0002,0.00115738,0.000383655,0.0002
"PM elements (XRF)",S,Outdoor,265,0.0028,4.51289,1.1589,1.05495
"PM elements (XRF)",S,Indoor,273,0.1073,3.65563,0.853821,0.686937
"PM elements (XRF)",S,"Personal adult",240,0.131093,3.57744,0.840019,0.705617
"PM elements (XRF)",S,"Personal child",24,0.00325,2.672,0.80273,0.703643
"PM elements (XRF)",Sb,Outdoor,265,0.00165,0.0202,0.00234812,0.00165
"PM elements (XRF)",Sb,Indoor,273,0.00165,0.0157,0.00188167,0.00165
"PM elements (XRF)",Sb,"Personal adult",240,0.00205,0.00816803,0.00236099,0.00205
"PM elements (XRF)",Sb,"Personal child",24,0.00205,0.0157,0.00281667,0.00205
"PM elements (XRF)",Se,Outdoor,265,0.00015,0.00786432,0.00120388,0.000823814
"PM elements (XRF)",Se,Indoor,273,0.00015,0.0051,0.000696944,0.000496429
"PM elements (XRF)",Se,"Personal adult",240,0.00035,0.004,0.000713563,0.00035
"PM elements (XRF)",Se,"Personal child",24,0.00035,0.0031009,0.000777439,0.00035
"PM elements (XRF)",Si,Outdoor,265,0.00235,2.363,0.217463,0.114004
"PM elements (XRF)",Si,Indoor,273,0.0180933,0.631997,0.12652,0.0969825
"PM elements (XRF)",Si,"Personal adult",240,0.0370147,4.49209,0.407196,0.278897
"PM elements (XRF)",Si,"Personal child",24,0.00762215,0.901184,0.391389,0.383276
"PM elements (XRF)",Sn,Outdoor,265,0.0037,0.1573,0.00565328,0.0037
"PM elements (XRF)",Sn,Indoor,273,0.0037,0.1304,0.00484541,0.0037
"PM elements (XRF)",Sn,"Personal adult",240,0.0055,0.1626,0.00669301,0.0055
"PM elements (XRF)",Sn,"Personal child",24,0.0055,0.0299362,0.00651818,0.0055
"PM elements (XRF)",Sr,Outdoor,265,0.00015,0.0148,0.00131548,0.000804131
"PM elements (XRF)",Sr,Indoor,273,0.00015,0.0122,0.000871588,0.0006
"PM elements (XRF)",Sr,"Personal adult",240,0.00025,0.0372652,0.00249523,0.0017257
"PM elements (XRF)",Sr,"Personal child",24,0.00025,0.00621545,0.00184805,0.00144638
"PM elements (XRF)",Ti,Outdoor,265,0.0004,0.123,0.0109353,0.00733759
"PM elements (XRF)",Ti,Indoor,273,0.0004,0.1491,0.00712062,0.0051
"PM elements (XRF)",Ti,"Personal adult",240,0.00266142,0.211302,0.0235636,0.0178934
"PM elements (XRF)",Ti,"Personal child",24,0.00125,0.0567724,0.0285443,0.0282892
"PM elements (XRF)",V,Outdoor,265,5e-05,0.0568,0.00578569,0.00423905
"PM elements (XRF)",V,Indoor,273,5e-05,0.0202,0.00367408,0.00258176
"PM elements (XRF)",V,"Personal adult",240,0.00035,0.013947,0.00336592,0.00250064
"PM elements (XRF)",V,"Personal child",24,0.00035,0.011137,0.00312298,0.0022557
"PM elements (XRF)",Y,Outdoor,265,0.0002,0.0016,0.000226569,0.0002
"PM elements (XRF)",Y,Indoor,273,0.0002,0.0007,0.000212266,0.0002
"PM elements (XRF)",Y,"Personal adult",240,0.0003,0.0014661,0.000336108,0.0003
"PM elements (XRF)",Y,"Personal child",24,0.0003,0.000683886,0.000315995,0.0003
"PM elements (XRF)",Zn,Outdoor,265,0.0004,1.579,0.024745,0.0146183
"PM elements (XRF)",Zn,Indoor,273,0.00144963,4.73494,0.0542007,0.0118
"PM elements (XRF)",Zn,"Personal adult",240,0.01095,3.36167,0.108811,0.0337901
"PM elements (XRF)",Zn,"Personal child",24,0.01095,0.271175,0.0543792,0.0406241
"PM elements (XRF)",Zr,Outdoor,265,0.00025,0.00796933,0.000753436,0.00025
"PM elements (XRF)",Zr,Indoor,273,0.00025,0.00886137,0.000839677,0.000661586
"PM elements (XRF)",Zr,"Personal adult",240,0.0004,0.15057,0.0103507,0.0034464
"PM elements (XRF)",Zr,"Personal child",24,0.0004,0.0314802,0.00858994,0.00645748
"PM mass",PM25mass,Outdoor,367,0.275,94.9,17.9811,15.5
"PM mass",PM25mass,Indoor,363,0.7,144.9,18.1438,14.5
"PM mass",PM25mass,"Personal adult",346,0.7,246.5,37.2202,30.5
"PM mass",PM25mass,"Personal child",36,0.7,150.4,53.6611,39.6
"PM OC/EC",Actual_OC,Outdoor,173,0.15,18.2511,3.48492,3.0323
"PM OC/EC",Actual_OC,Indoor,173,0.387955,56.722,7.00097,5.29769
"PM OC/EC",Actual_OM,Outdoor,173,0.257143,25.5515,4.87971,4.24522
"PM OC/EC",Actual_OM,Indoor,173,0.543137,79.4107,9.80136,7.41677
"PM OC/EC",Actual_EC,Outdoor,173,0.035,4.64162,1.10868,0.955322
"PM OC/EC",Actual_EC,Indoor,173,0.0501439,9.98021,1.07135,0.871971
temperature/RH,temp_c,Outdoor,565,-6.818,32.5,18.6533,19.5622
temperature/RH,temp_c,Indoor,557,9.75684,31.3,23.7027,23.89
temperature/RH,avg_rh,Outdoor,295,-1.6,103.911,64.7518,66.6345
temperature/RH,avg_rh,Indoor,297,0,80.2465,46.0525,49.98
VOC,acbenzen,Outdoor,555,0.27,20.919,2.14839,1.68
VOC,acbenzen,Indoor,554,0.55,46.0732,3.4973,2.19113
VOC,acbenzen,"Personal adult",544,0.27,85.37,3.63517,2.38673
VOC,acbenzen,"Personal child",209,0.55,54.6818,4.15801,2.79492
VOC,accartet,Outdoor,555,0.135,31.23,0.716137,0.636631
VOC,accartet,Indoor,554,0.135,18.07,0.710472,0.618743
VOC,accartet,"Personal adult",544,0.135,42.27,0.797615,0.615436
VOC,accartet,"Personal child",209,0.135,1.22,0.570799,0.555936
VOC,acchlfrm,Outdoor,555,0.14,24.72,0.369904,0.21
VOC,acchlfrm,Indoor,554,0.14,40.18,1.86223,0.919743
VOC,acchlfrm,"Personal adult",544,0.14,1223.56,4.24733,1.0411
VOC,acchlfrm,"Personal child",209,0.14,38.59,2.03194,1.1423
VOC,acdchben,Outdoor,555,0.215,355.05,2.14968,0.455
VOC,acdchben,Indoor,554,0.215,4050.73,68.8416,1.39734
VOC,acdchben,"Personal adult",544,0.215,2153.45,56.827,1.88
VOC,acdchben,"Personal child",209,0.215,1783.5,121.561,4.18
VOC,acethben,Outdoor,555,0.11,36.24,1.2828,0.929986
VOC,acethben,Indoor,554,0.28792,68.37,2.51932,1.46288
VOC,acethben,"Personal adult",544,0.11,64.55,2.77928,1.68309
VOC,acethben,"Personal child",209,0.11,60.24,3.33594,1.95
VOC,acdlimo,Outdoor,555,0.35,74.2,1.96926,0.635
VOC,acdlimo,Indoor,554,0.35,2101.31,30.9788,9.67
VOC,acdlimo,"Personal adult",544,0.35,5113.77,41.1447,11.7657
VOC,acdlimo,"Personal child",209,0.635,577.737,32.1082,17.36
VOC,acmetchl,Outdoor,555,0.145,39.86,1.06207,1.05
VOC,acmetchl,Indoor,554,0.145,187.638,2.39539,1.05
VOC,acmetchl,"Personal adult",544,0.145,329.851,3.11162,1.05
VOC,acmetchl,"Personal child",209,0.145,88.8789,1.70488,0.87517
VOC,acmtbe,Outdoor,555,0.19,105.173,8.10629,5.32
VOC,acmtbe,Indoor,554,0.19,348.04,11.792,5.9821
VOC,acmtbe,"Personal adult",544,0.19,843.74,14.7746,7.14
VOC,acmtbe,"Personal child",209,0.19,224.829,11.6854,7.0325
VOC,acalpin,Outdoor,555,0.14,63.17,1.3122,1.02
VOC,acalpin,Indoor,554,0.397234,174.665,7.04217,2.59748
VOC,acalpin,"Personal adult",543,0.545976,231.48,6.85964,2.88
VOC,acalpin,"Personal child",209,0.754038,36.0293,5.68902,3.56793
VOC,acbepin,Outdoor,555,0.505,46.17,0.944849,0.505
VOC,acbepin,Indoor,554,0.505,123.14,4.8492,1.2138
VOC,acbepin,"Personal adult",544,0.505,133.16,5.52746,1.52111
VOC,acbepin,"Personal child",209,0.505,35.2938,5.33162,2.84728
VOC,acstyren,Outdoor,555,0.17,47,0.582478,0.42
VOC,acstyren,Indoor,554,0.17,59.3733,1.4674,0.42
VOC,acstyren,"Personal adult",544,0.17,59.52,1.54683,0.42
VOC,acstyren,"Personal child",209,0.17,39.6988,1.69673,0.652476
VOC,actoluen,Outdoor,555,3.35,64.97,6.82732,3.56
VOC,actoluen,Indoor,554,3.35,323.95,15.2603,10.4065
VOC,actoluen,"Personal adult",544,3.35,641.47,19.1193,12.42
VOC,actoluen,"Personal child",209,3.35,238.39,18.3027,12.34
VOC,actriche,Outdoor,555,0.12,30.07,0.337856,0.22
VOC,actriche,Indoor,554,0.12,132.321,0.970312,0.22
VOC,actriche,"Personal adult",544,0.12,200.31,1.4419,0.22
VOC,actriche,"Personal child",209,0.12,9.62,0.347749,0.12
VOC,actetche,Outdoor,555,0.11,41.82,1.0229,0.61
VOC,actetche,Indoor,554,0.11,78.05,1.84082,0.84221
VOC,actetche,"Personal adult",544,0.11,2617.79,7.17316,0.892963
VOC,actetche,"Personal child",209,0.11,211.104,2.82255,0.56657
VOC,acmpxyle,Outdoor,555,0.325,51.21,3.55971,2.48598
VOC,acmpxyle,Indoor,554,0.325,231.22,7.32427,4.07263
VOC,acmpxyle,"Personal adult",544,0.7,219.05,8.06512,4.41686
VOC,acmpxyle,"Personal child",209,0.7,205.41,8.87428,5.14575
VOC,acoxyle,Outdoor,555,0.145,80.98,1.46117,0.96
VOC,acoxyle,Indoor,554,0.145,66.88,2.4676,1.46
VOC,acoxyle,"Personal adult",544,0.422403,79.56,2.86959,1.72493
VOC,acoxyle,"Personal child",209,0.145,59.65,2.90905,1.96
AER,AER,Indoor,524,2.5,87.4998,2.85521,2.5
